timestamp,feel,vibe,proj,ideas,quality,value,feed
6/29/2022 15:08:49,9,Happy,"I know what I am supposed to do, and think its adding value.","I have a new idea or a side project, and I want to share it with the team week.",Below my expectations,Absolutely!,Adequate.
07-05-2022 11:30,9,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Absolutely!,Adequate.
07-05-2022 11:33,9,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I had new idea or side project, since sharing with the team its moving ahead.",Exceeding my expectations,Absolutely!,Need less feedback! I feel like I am being pulled in too many directions to often.
07-05-2022 11:36,7,Frustrated,"I know what I am supposed to do, and think its adding value.","I have a new idea or a side project, and I want to share it with the team week.",Exceeding my expectations,Absolutely!,Adequate.
07-05-2022 11:42,9,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
07-05-2022 11:43,9,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Below my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
07-05-2022 11:43,10,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Absolutely!,Adequate.
07-05-2022 11:43,8,Relaxed,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Sometimes,Adequate.
07-05-2022 11:44,9,Relaxed,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
07-05-2022 12:04,7,Alarmed,"I know what I am supposed to do generally, but need some clarification.","I currently, don't have any new ideas or side projects.",Below my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
07-05-2022 12:04,6,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I had new idea or side project, since sharing with the team its moving ahead.",Below my expectations,Absolutely!,Need less feedback! I feel like I am being pulled in too many directions to often.
07-05-2022 12:09,7,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Sometimes,Adequate.
07-05-2022 16:13,8,Relaxed,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Exceeding my expectations,Absolutely!,Adequate.
07-07-2022 01:50,8,Tired,"I know what I am supposed to do generally, but need some clarification.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,Adequate.
07-07-2022 13:52,7,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Exceeding my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
07-12-2022 10:07,10,Tense,"I know what I am supposed to do, and think its adding value.","I had new idea or side project, since sharing with the team its moving ahead.",Exceeding my expectations,Absolutely!,Adequate.
07-12-2022 10:11,8,Alarmed,"I know what I am supposed to do generally, but need some clarification.","I had new idea or side project, since sharing with the team its moving ahead.",Meeting my expectations,Absolutely!,Adequate.
07-12-2022 10:34,8,Enthusiastic,"I know what I am supposed to do generally, but need some clarification.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Absolutely!,Adequate.
07-12-2022 11:05,8,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I have a new idea or a side project, and I want to share it with the team week.",Exceeding my expectations,Absolutely!,Adequate.
07-12-2022 11:48,9,Gloomy,"I know what I am supposed to do, and think its adding value.","I have a new idea or side project, but it's not ready to share.",Meeting my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
07-12-2022 11:50,5,Tired,"I know what I am supposed to do generally, but need some clarification.","I currently, don't have any new ideas or side projects.",Below my expectations,Sometimes,Need less feedback! I feel like I am being pulled in too many directions to often.
07-12-2022 11:54,1,Tired,"I know what I am supposed to do, there is too litle time to do it properly among other tasks","I currently, don't have any new ideas or side projects.",Below my expectations,Sometimes,Adequate.
07-12-2022 12:01,10,Enthusiastic,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Below my expectations,Absolutely!,Adequate.
7/13/2022 16:19:09,8,Relaxed,"I know what I am supposed to do, and think its adding value.","I currently, don't have any new ideas or side projects.",Meeting my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
7/19/2022 13:47:07,8,Tense,"I know what I am supposed to do generally, but need some clarification.","I have a new idea or a side project, and I want to share it with the team week.",Meeting my expectations,Absolutely!,"Need more feedback! I want to improve, but I feel like I am left in the dark too often."
